SchoolYear,Total Enrolled in an IHE within 0-48 months,Total % Enrolled in an IHE within 0-48 months,Total Accumulating 24 Credits within 0-12 months,Total % Accumulating 24 Credits  within 0-12 months,Total Accumulating 24 Credits within 0-16 months,Total % Accumulating 24 Credits  within 0-16 months,Total Accumulating 24 Credits within 0-24 months,Total % Accumulating 24 Credits  within 0-24 months,ISD Code,ISD OfficialName,DistrictCode,DistrictOfficialName,BuildingCode,BuildingOfficialName,CharterName,CountyCode,CountyName,EntityType,SchoolLevel,Locale,IHE Type,Subgroup,Gender,Total Graduates (All Students),Total Enrolled in an IHE within 0-6 months,Total % Enrolled in an IHE within 0-6 months,Total Enrolled in an IHE within 0-12 months,Total % Enrolled in an IHE within 0-12 months,Total Enrolled in an IHE within 0-16 months,Total % Enrolled in an IHE within 0-16 months,Total Enrolled in an IHE within 0-24 months,Total % Enrolled in an IHE within 0-24 months,Total Enrolled in an IHE within 0-36 months,Total % Enrolled in an IHE within 0-36 months
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,,82,Wayne,LEA District,Elem thru High School,City: Large,All,Native Hawaiian or Other Pacific Islander,Female,<10,<10,28.5714,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,,82,Wayne,LEA District,Elem thru High School,City: Large,All,All Students,Male,1313,516,39.2993,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,,82,Wayne,LEA District,Elem thru High School,City: Large,All,Asian,All Students,73,59,80.8219,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,,82,Wayne,LEA District,Elem thru High School,City: Large,Two Year,White,Male,22,<10,9.0909,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,,82,Wayne,LEA District,Elem thru High School,City: Large,Two Year,Native Hawaiian or Other Pacific Islander,Female,<10,<10,14.2857,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,,82,Wayne,LEA District,Elem thru High School,City: Large,Two Year,White,All Students,45,<10,6.6667,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,,82,Wayne,LEA District,Elem thru High School,City: Large,All,African American,Female,1371,727,53.027,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,,82,Wayne,LEA District,Elem thru High School,City: Large,All,Native Hawaiian or Other Pacific Islander,All Students,<10,<10,28.5714,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,,82,Wayne,LEA District,Elem thru High School,City: Large,Four Year,African American,Female,1371,475,34.6462,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,,82,Wayne,LEA District,Elem thru High School,City: Large,Two Year,African American,Female,1371,252,18.3807,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,,82,Wayne,LEA District,Elem thru High School,City: Large,Four Year,Hispanic/Latino,All Students,370,84,22.7027,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,,82,Wayne,LEA District,Elem thru High School,City: Large,Four Year,Students With Disabilities,All Students,312,17,5.4487,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,,82,Wayne,LEA District,Elem thru High School,City: Large,Two Year,All Students,Male,1313,192,14.623,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,,82,Wayne,LEA District,Elem thru High School,City: Large,Two Year,Hispanic/Latino,All Students,370,58,15.6757,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,,82,Wayne,LEA District,Elem thru High School,City: Large,All,White,All Students,45,20,44.4444,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,,82,Wayne,LEA District,Elem thru High School,City: Large,Four Year,Asian,Female,42,26,61.9048,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,,82,Wayne,LEA District,Elem thru High School,City: Large,Four Year,White,All Students,45,17,37.7778,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,,82,Wayne,LEA District,Elem thru High School,City: Large,Four Year,All Students,All Students,2964,888,29.9595,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,,82,Wayne,LEA District,Elem thru High School,City: Large,Four Year,All Students,Female,1651,564,34.1611,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,,82,Wayne,LEA District,Elem thru High School,City: Large,Four Year,Asian,All Students,73,48,65.7534,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,,82,Wayne,LEA District,Elem thru High School,City: Large,Four Year,English Learners,All Students,353,78,22.0963,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,,82,Wayne,LEA District,Elem thru High School,City: Large,Two Year,English Learners,All Students,353,56,15.864,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,,82,Wayne,LEA District,Elem thru High School,City: Large,All,African American,Male,1095,429,39.1781,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,,82,Wayne,LEA District,Elem thru High School,City: Large,Four Year,Asian,Male,31,22,70.9677,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,,82,Wayne,LEA District,Elem thru High School,City: Large,Four Year,African American,All Students,2466,738,29.927,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,,82,Wayne,LEA District,Elem thru High School,City: Large,Two Year,Asian,Male,31,<10,<5%,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,,82,Wayne,LEA District,Elem thru High School,City: Large,Two Year,African American,All Students,2466,418,16.9505,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,,82,Wayne,LEA District,Elem thru High School,City: Large,All,Hispanic/Latino,Male,163,56,34.3558,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,,82,Wayne,LEA District,Elem thru High School,City: Large,Two Year,All Students,All Students,2964,491,16.5655,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,,82,Wayne,LEA District,Elem thru High School,City: Large,Two Year,Asian,All Students,73,11,15.0685,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,,82,Wayne,LEA District,Elem thru High School,City: Large,Four Year,White,Female,23,11,47.8261,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,,82,Wayne,LEA District,Elem thru High School,City: Large,Two Year,White,Female,23,<10,<5%,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,18,Cody High School,,82,Wayne,LEA School,High School,City: Large,All,African American,Female,48,23,47.9167,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,18,Cody High School,,82,Wayne,LEA School,High School,City: Large,Four Year,African American,Male,60,<10,10,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,18,Cody High School,,82,Wayne,LEA School,High School,City: Large,Two Year,African American,Male,60,<10,15,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,18,Cody High School,,82,Wayne,LEA School,High School,City: Large,Four Year,All Students,All Students,110,17,15.4546,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,18,Cody High School,,82,Wayne,LEA School,High School,City: Large,Four Year,African American,All Students,108,15,13.8889,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,18,Cody High School,,82,Wayne,LEA School,High School,City: Large,Four Year,Hispanic/Latino,All Students,<10,<10,>95%,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,18,Cody High School,,82,Wayne,LEA School,High School,City: Large,Four Year,White,Female,<10,<10,>95%,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,18,Cody High School,,82,Wayne,LEA School,High School,City: Large,All,Hispanic/Latino,All Students,<10,<10,>95%,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,18,Cody High School,,82,Wayne,LEA School,High School,City: Large,Two Year,All Students,Female,49,14,28.5714,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,18,Cody High School,,82,Wayne,LEA School,High School,City: Large,All,All Students,Female,49,24,48.9796,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,18,Cody High School,,82,Wayne,LEA School,High School,City: Large,Two Year,All Students,Male,61,<10,14.7541,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,18,Cody High School,,82,Wayne,LEA School,High School,City: Large,Two Year,African American,All Students,108,23,21.2963,,,,,,,,
